treatmentstring,n,category,group
infectious diseases|medications|prophylactic antibacterials|for surgery|cephalosporin,1479,,
pulmonary|radiologic procedures / bronchoscopy|CT scan|without contrast,1477,,
surgery|consultations|ENT consultation,1475,,
neurologic|pain / agitation / altered mentation|analgesics|transdermal analgesics,1465,,
burns/trauma|skin care|dressing change,1450,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|conventional heparin therapy|subcutaneous,1433,,
infectious diseases|medications|therapeutic antibacterials|clindamycin,1429,,
pulmonary|medications|sedative|lorazepam,1429,,
pulmonary|ventilation and oxygenation|ventilator weaning|slow,1423,,
burns/trauma|trauma|CT scan|head,1423,,
toxicology|drug overdose|normal saline solution,1422,,
pulmonary|medications|bronchodilator|beta-agonist|levalbuterol (Xopenex),1416,,
burns/trauma|trauma|CT scan|spine,1414,,
pulmonary|surgery / incision and drainage of thorax|thoracentesis,1404,,
pulmonary|surgery / incision and drainage of thorax|insertion of thoracostomy tube|post-op,1404,,
cardiovascular|other therapies|antibacterials|vancomycin,1404,,
"gastrointestinal|radiology, diagnostic and procedures|paracentesis",1403,,
infectious diseases|medications|therapeutic antibacterials|carbapenem|imipenem-cilastatin,1399,,
gastrointestinal|intravenous fluid administration|blood product administration|fresh frozen plasma,1396,,
pulmonary|surgery / incision and drainage of thorax|insertion of thoracostomy tube|for drainage of air,1395,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|non-rebreather mask,1394,,
neurologic|procedures / diagnostics|neurosurgery,1389,,
"gastrointestinal|radiology, diagnostic and procedures|CT scan|without IV contrast",1385,,
renal|electrolyte correction|treatment of hyperkalemia|intravenous calcium,1375,,
pulmonary|vascular disorders|VTE prophylaxis|conventional heparin therapy,1374,,
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|for hematoma,1369,,
surgery|analgesics /sedatives/ nmbs|analgesics|PCA,1367,,
cardiovascular|myocardial ischemia / infarction|analgesics|oral analgesics,1364,,
cardiovascular|arrhythmias|anticoagulant administration,1362,,
endocrine|electrolyte correction|administration of electrolytes|calcium,1358,,
renal|electrolyte correction|treatment of hypernatremia|free water administration,1354,,
surgery|consultations|Orthopedics consultation,1352,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|face mask,1349,,
infectious diseases|medications|therapeutic antibacterials|linezolid,1341,,
cardiovascular|hypertension|ACE inhibitor,1341,,
gastrointestinal|intravenous fluid administration|blood product administration,1335,,
pulmonary|medications|glucocorticoid administration|oral,1328,,
surgery|infection|therapeutic antibacterials|first generation cephalosporin|cefazolin,1324,,
gastrointestinal|endoscopy/gastric instrumentation|fiberoptic colonoscopy,1318,,
infectious diseases|cultures / immuno-assays|legionnaire's urinary antigen,1315,,
general|quality measures|smoking cessation counseling,1312,,
neurologic|seizure therapy|anticonvulsant|valproate,1310,,
neurologic|therapy for controlling cerebral perfusion pressure|antihypertensive drug|labetalol,1309,,
surgery|GI therapies|stress ulcer prophylaxis|proton pump inhibitor|pantoprazole IV,1308,,
pulmonary|medications|neuromuscular blocking agent|cisatracurium,1307,,
cardiovascular|ventricular dysfunction|nitroglycerin|intravenous,1290,,
cardiovascular|ventricular dysfunction|nitroglycerin,1285,,
neurologic|pain / agitation / altered mentation|SSRI administration|sertraline (Zoloft),1271,,
cardiovascular|shock|inotropic agent|norepinephrine <= 0.1 micrograms/kg/min,1262,,
oncology|procedures|surgical resection for cancer,1253,,
cardiovascular|vascular disorders|anticoagulant administration|low molecular weight heparin|enoxaparin,1252,,
neurologic|pain / agitation / altered mentation|analgesics|neuraxial analgesics,1250,,
cardiovascular|ventricular dysfunction|intravenous diuretic|bumetanide,1241,,
cardiovascular|hypertension|angiotensin II receptor blocker (ARB)|losartan,1237,,
cardiovascular|non-operative procedures|cardiac angiography|right heart,1235,,
neurologic|pain / agitation / altered mentation|systemic glucocorticoid|dexamethasone,1233,,
infectious diseases|medications|therapeutic antibacterials|penicillins,1232,,
infectious diseases|medications|therapeutic antibacterials|carbapenem|ertapenem,1230,,
hematology|red blood cell disorders|folate,1228,,
burns/trauma|trauma|CT scan,1225,,
cardiovascular|myocardial ischemia / infarction|antiplatelet agent|aggregation inhibitors,1221,,
"gastrointestinal|radiology, diagnostic and procedures|ultrasonography",1219,,
pulmonary|ventilation and oxygenation|ventilator weaning|rapid,1219,,
cardiovascular|intravenous fluid|blood product administration|platelet concentrate,1214,,
cardiovascular|vascular disorders|VTE prophylaxis|coumadin,1209,,
endocrine|glucose metabolism|glucose|D10W,1205,,
cardiovascular|ventricular dysfunction|vasodilator|hydralazine,1191,,
oncology|medications|chemotherapy,1190,,
transplant|medications|immunosuppressive therapy|tacrolimus,1185,,
pulmonary|medications|antibacterials|fourth generation cephalosporin|cefepime,1184,,
gastrointestinal|medications|laxatives|lactulose,1181,,
neurologic|pain / agitation / altered mentation|SSRI administration|citalopram (Celexa),1169,,
"gastrointestinal|radiology, diagnostic and procedures|CT scan|with IV contrast",1169,,
gastrointestinal|exploratory surgery|exploratory laparoscopy,1169,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy|percutaneous,1167,,
pulmonary|medications|anticoagulant administration,1163,,
gastrointestinal|medications|stress ulcer prophylaxis|sucralfate,1162,,
neurologic|seizure therapy|anticonvulsant|fosphenytoin,1156,,
cardiovascular|shock|inotropic agent|dopamine  5-15 micrograms/kg/min,1156,,
burns/trauma|trauma|CT scan|abdomen,1155,,
renal|intravenous fluid|normal saline administration|moderate volume resuscitation (150-250 mls/hr),1153,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|trach collar,1151,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|trach collar,1150,,
hematology|red blood cell disorders|ferrous iron compound|oral iron,1148,,
gastrointestinal|medications|stress ulcer prophylaxis|ranitidine,1144,,
surgery|infection|prophylactic antibacterials|for surgery|cephalosporin,1143,,
burns/trauma|trauma|CT scan|pelvis,1139,,
renal|medications|antibacterials,1138,,
cardiovascular|myocardial ischemia / infarction|glycoprotein IIB/IIIA inhibitor|eptifibatide,1133,,
toxicology|drug overdose|Psychiatry consultation,1128,,
cardiovascular|non-operative procedures|cardiac angiography|with angioplasty,1122,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor,1120,,
endocrine|glucose metabolism|glucose|D5NS,1117,,
surgery|analgesics /sedatives/ nmbs|analgesics|non-narcotic analgesic|acetaminophen,1115,,
neurologic|therapy for controlling cerebral perfusion pressure|intracranial/cerebral perfusion pressure monitoring,1113,,
renal|medications|intravenous diuretic|IV diuretic - continuous infusion,1111,,
cardiovascular|hypertension|beta blocker|atenolol,1110,,
burns/trauma|trauma|CT scan|chest,1105,,
cardiovascular|shock|inotropic agent|dopamine <= 5 micrograms/kg/min,1103,,
cardiovascular|shock|vasopressors|dopamine >15 micrograms/kg/min,1102,,
surgery|glucose control|insulin|sliding scale administration,1099,insulin,insulin
pulmonary|medications|analgesics|oral analgesics,1098,,
pulmonary|surgery / incision and drainage of thorax|thoracentesis|diagnostic,1087,,
renal|procedures/radiology|insertion of venous catheter for hemodialysis,1087,,
cardiovascular|arrhythmias|electrolyte administration|calcium,1086,,
gastrointestinal|medications|antibiotics|metronidazole,1083,,
pulmonary|surgery / incision and drainage of thorax|insertion of thoracostomy tube|for drainage of effusion,1081,,
gastrointestinal|medications|analgesics|bolus parenteral analgesics,1077,,
cardiovascular|hypertension|vasodilating agent - IV|nitroprusside,1074,,
cardiovascular|other therapies|antibacterials,1071,,
neurologic|therapy for controlling cerebral perfusion pressure|antihypertensive drug|hydralazine,1070,,
gastrointestinal|nutrition|parenteral feeds|intralipid,1069,parenteral-intake,nutrition-parenteral
gastrointestinal|endoscopy/gastric instrumentation|feeding tube|nasogastric,1069,,
cardiovascular|shock|intraaortic balloon pump,1068,,
cardiovascular|vascular disorders|thrombolytic agent|alteplase,1065,,
cardiovascular|ventricular dysfunction|intravenous diuretic|IV diuretic - bolus infusion,1062,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|coumadin,1059,,
infectious diseases|cultures / immuno-assays|cultures|urine|catheterized,1058,,
burns/trauma|intravenous fluids|normal saline administration,1051,,
endocrine|adrenal disorders|glucocorticoids|prednisone,1050,,
cardiovascular|arrhythmias|antiarrhythmics|atropine,1048,,
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy,1043,,
renal|electrolyte correction|treatment of hyperkalemia,1040,,
hematology|coagulation and platelets|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,1036,,
pulmonary|ventilation and oxygenation|lung recruitment maneuver,1033,,
surgery|analgesics /sedatives/ nmbs|analgesics|continuous parenteral analgesics,1032,,
infectious diseases|medications|therapeutic antibacterials|quinolone|ciprofloxacin,1029,,
neurologic|ICH/ cerebral infarct|mannitol,1023,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|dobutamine,1020,,
surgery|intravenous fluids / electrolytes|administration of electrolytes|magnesium,1019,,
cardiovascular|arrhythmias|anticoagulant administration|low molecular weight heparin|enoxaparin,1014,,
cardiovascular|intravenous fluid|Lactated Ringer's administration|fluid bolus (250-1000mls),1014,,
surgery|intravenous fluids / electrolytes|administration of electrolytes|potassium,1014,,
cardiovascular|hypertension|antihypertensive combination agent,1011,,
transplant|consultations|Transplant surgery consultation,1007,,
cardiovascular|vascular disorders|anticoagulant administration,1002,,
surgery|cardiac therapies|vasopressors|phenylephrine (Neosynephrine),1000,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|milrinone,997,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic|lidocaine,991,,
cardiovascular|myocardial ischemia / infarction|calcium channel blocker,990,,
gastrointestinal|intravenous fluid administration|normal saline administration|fluid bolus (250-1000mls),989,,
cardiovascular|shock|diagnostic ultrasound of heart,983,,
cardiovascular|shock|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,980,,
pulmonary|radiologic procedures / bronchoscopy|CT scan|spiral CT,972,,
cardiovascular|non-operative procedures|implantation of heart pacemaker|permanent,972,,
surgery|cardiac therapies|antiplatelet agent|aspirin,966,,
cardiovascular|intravenous fluid|blood product administration,964,,
gastrointestinal|medications|hormonal therapy (for varices)|vasopressin,964,,
infectious diseases|medications|prophylactic antibacterials|for surgery|vancomycin,959,,
renal|intravenous fluid|normal saline administration|aggressive volume resuscitation (>250 mls/hr),955,,
neurologic|pain / agitation / altered mentation|SSRI administration|fluoxetine (Prozac),950,,
pulmonary|medications|anticoagulant administration|conventional heparin therapy|intravenous,946,,
cardiovascular|shock|inotropic agent,942,,
neurologic|procedures / diagnostics|angiogram|with coiling,942,,
cardiovascular|intravenous fluid|hypotonic fluid administration|half-normal saline solution,936,,
cardiovascular|ventricular dysfunction|oral diuretic,926,,
cardiovascular|intravenous fluid|heparin lock IV fluids,926,,
pulmonary|surgery / incision and drainage of thorax|insertion of thoracostomy tube|for drainage of blood,925,,
infectious diseases|medications|therapeutic antibacterials|monobactam|aztreonam,922,,
gastrointestinal|medications|antiemetic|serotonin antagonist,922,,
cardiovascular|cardiac surgery|implantation of LVAD,921,,
hematology|coagulation and platelets|blood product administration,912,,
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|for tumor,908,,
transplant|medications|immunosuppressive therapy|mycophenolate mofetil,907,,
neurologic|therapy for controlling cerebral perfusion pressure|antihypertensive drug|nimodipine,905,,
infectious diseases|cultures / immuno-assays|cultures|CSF,904,,
neurologic|pain / agitation / altered mentation|antidepressant|trazodone (Desyrel),899,,
cardiovascular|ventricular dysfunction|alpha/beta blocker|carvedilol,896,,
gastrointestinal|endoscopy/gastric instrumentation|feeding tube,895,,
burns/trauma|trauma|internal fixation|orthopedic internal fixation system,888,,
neurologic|pain / agitation / altered mentation|SSRI administration,888,,
cardiovascular|ventricular dysfunction|inotropic agent|dopamine <= 5 micrograms/kg/min,886,,
surgery|analgesics /sedatives/ nmbs|sedative agent|propofol,881,,
surgery|pulmonary therapies|ventilator weaning,880,,
cardiovascular|vascular disorders|anticoagulant administration|coumadin,877,,
cardiovascular|shock|blood product administration,873,,
surgery|wounds / temperature|wound care|surgical debridement,872,,
